"Story","Title","Result","Date","Stability","Duration (s)"
"User data driven test","Data Driven test for creating multiple users","SUCCESS","2023-01-10T21:32:40.152Z[Europe/London]","0.0","23.54"
"Tags test","This test will status code 404 when incorrect tag is provided","SUCCESS","2023-01-10T21:32:42.393Z[Europe/London]","0.0","1.12"
"Tags test","This test will provide an error code of 404 when user tries to access an invalid resource","SUCCESS","2023-01-10T21:32:43.513Z[Europe/London]","0.0","0.59"
"Testing User creation and verifying all data","Create a new user data","SUCCESS","2023-01-10T21:32:15.537Z[Europe/London]","0.0","19.08"
"Testing User creation and verifying all data","Get User details","SUCCESS","2023-01-10T21:32:37.828Z[Europe/London]","0.0","0.62"
"Testing User creation and verifying all data","Update  user details data","SUCCESS","2023-01-10T21:32:38.619Z[Europe/London]","0.0","0.56"
"Testing User creation and verifying all data","Delete user details","SUCCESS","2023-01-10T21:32:39.299Z[Europe/London]","0.0","0.46"
"User data created in gorest application","CRUD Test","SUCCESS","2023-01-10T21:32:39.872Z[Europe/London]","0.0","2.33"
